Symbol,Company,Sector,Industry,Price,PE,PB,ROE %,Debt/Equity,Profit Margin %,Revenue CAGR %,Net Income CAGR %,Margin Trend,Blended Fair Value,Est. Upside %,Valuation Models Used,Score,Rating,Valuation Pillar,Profitability Pillar,Stability Pillar,Growth Pillar,Upside Pillar,Strengths,PE Percentile (vs Sector),ROE Percentile (vs Sector),Score Rank (vs Sector)
BRITANNIA,Britannia Industries Limited,Consumer Defensive,Packaged Foods,5440.0,51.72086,25.65965,53.31,26.875,13.27,5.7,3.0,stable,2635.57,-51.6,2,47,🟡 HOLD,0,15,15,12,0,"Excellent ROE (53.3%), Healthy net margin (13.3%), Very low debt, Consistent YoY growth",46.666666666666664,100.0,3.0
PAGEIND,Page Industries Limited,Consumer Cyclical,Apparel Manufacturing,40355.0,59.024426,29.955742,52.5,18.422,14.56,3.8,10.2,expanding,13734.54,-66.0,2,47,🟡 HOLD,0,15,17,15,0,"Excellent ROE (52.5%), Healthy net margin (14.6%), Very low debt, Strong liquidity position",62.96296296296296,100.0,14.0
MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services,Capital Markets,880.0,26.82109,4.1094995,0.0,165.8,22.96,29.1,26.1,contracting,590.51,-32.9,1,46,🟡 HOLD,5,11,10,20,0,"High net margin (23.0%), Leverage ratio not directly comparable (financial sector), Strong revenue CAGR (29.1%), Strong profit CAGR (26.1%)",54.54545454545454,26.136363636363637,24.0
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Asset Management,2562.0,37.40146,11.89288,0.0,2.364,61.62,23.9,26.2,expanding,1165.95,-54.5,2,46,🟡 HOLD,0,11,10,25,0,"High net margin (61.6%), Leverage ratio not directly comparable (financial sector), Strong revenue CAGR (23.9%), Strong profit CAGR (26.2%)",72.72727272727273,26.136363636363637,24.0
NAUKRI,Info Edge (India) Limited,Communication Services,Internet Content & Information,1242.0,55.69507,2.1219308,4.57,0.64,44.14,11.9,,expanding,645.17,-48.1,2,46,🟡 HOLD,4,11,16,15,0,"High net margin (44.1%), Manageable debt level, Strong liquidity position, Healthy revenue CAGR (11.9%)",100.0,57.14285714285714,4.0
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,1880.0,27.773674,5.25908,0.0,695.283,40.55,32.8,25.2,unknown,1112.82,-40.8,1,46,🟡 HOLD,5,11,10,20,0,"High net margin (40.5%), Leverage ratio not directly comparable (financial sector), Strong revenue CAGR (32.8%), Strong profit CAGR (25.2%)",59.09090909090909,26.136363636363637,24.0
AMBUJACEM,Ambuja Cements Limited,Basic Materials,Building Materials,445.0,24.957935,1.853433,0.0,1.205,11.13,8.9,34.6,stable,535.95,20.4,1,46,🟡 HOLD,9,4,3,20,0,"Healthy net margin (11.1%), Healthy revenue CAGR (8.9%), Strong profit CAGR (34.6%), Consistent YoY growth",41.17647058823529,35.714285714285715,13.0
MPHASIS,Mphasis Limited,Technology,Information Technology Services,2460.0,24.609844,4.141017,17.74,24.675,11.56,4.8,4.4,stable,2080.2,-15.4,2,46,🟡 HOLD,5,13,18,10,0,"Strong ROE (17.7%), Healthy net margin (11.6%), Very low debt, Appears overvalued vs blended intrinsic estimate (~-61%)",37.5,75.0,8.0
METROPOLIS,Metropolis Healthcare Limited,Healthcare,Diagnostics & Research,576.75,62.826794,7.9024167,13.37,15.212,11.54,12.8,10.0,stable,316.28,-45.2,2,46,🟡 HOLD,0,10,18,18,0,"Healthy net margin (11.5%), Very low debt, Healthy revenue CAGR (12.8%), Consistent YoY growth",65.21739130434783,78.26086956521739,8.0
LALPATHLAB,Dr. Lal PathLabs Limited,Healthcare,Diagnostics & Research,1887.1,58.406063,12.563246,0.0,7.83,18.75,11.1,28.3,expanding,808.41,-57.2,2,45,🟡 HOLD,0,11,12,22,0,"High net margin (18.7%), Very low debt, Healthy revenue CAGR (11.1%), Strong profit CAGR (28.3%)",60.86956521739131,26.08695652173913,9.0
